method,error_type,trials,injected_per_trial,charted_per_trial,detected_per_trial,recall_pct_mean,recall_pct_min,recall_pct_max,e2e_recall_pct_mean,collateral_per_trial,feed_silent_end_pct,feed_surfaced_end_pct
v1.1-reference,spike_x10,10,40.0,27.4,20.3,74.4,57.7,91.3,50.8,15.6,,
v2-fixed,spike_x10,10,40.0,26.3,19.9,76.1,57.7,95.5,49.8,15.6,,
v2-rolling,spike_x10,10,40.0,27.8,22.1,79.4,61.3,90.3,55.2,19.0,,
v2-rolling-naive,spike_x10,10,40.0,29.3,22.6,77.0,62.5,89.7,56.5,16.6,,
v1.1-reference,units_x1000,10,40.0,27.7,27.2,98.2,93.3,100.0,68.0,20.9,,
v2-fixed,units_x1000,10,40.0,26.8,26.5,98.9,95.8,100.0,66.2,20.5,,
v2-rolling,units_x1000,10,40.0,28.7,28.6,99.6,96.0,100.0,71.5,25.1,,
v2-rolling-naive,units_x1000,10,40.0,29.8,29.7,99.6,96.0,100.0,74.2,23.9,,
v1.1-reference,drop_to_zero,10,40.0,29.2,24.7,84.5,76.7,93.5,61.8,18.8,,
v2-fixed,drop_to_zero,10,40.0,27.6,24.3,88.3,79.3,100.0,60.8,18.5,,
v2-rolling,drop_to_zero,10,40.0,29.0,26.4,91.1,83.9,96.8,66.0,21.5,,
v2-rolling-naive,drop_to_zero,10,40.0,30.3,26.7,88.0,80.8,96.9,66.8,19.6,,
v1.1-reference,misstate_25pct,10,40.0,28.3,2.8,9.9,0.0,23.1,7.0,1.2,,
v2-fixed,misstate_25pct,10,40.0,26.6,2.8,10.4,0.0,23.1,7.0,1.2,,
v2-rolling,misstate_25pct,10,40.0,28.9,3.6,12.4,3.6,21.4,9.0,2.3,,
v2-rolling-naive,misstate_25pct,10,40.0,29.8,2.9,9.8,3.4,18.5,7.2,2.1,,
v1.1-reference,stale_repeat,10,40.0,28.9,28.9,100.0,100.0,100.0,72.2,12.8,,
v2-fixed,stale_repeat,10,40.0,27.6,27.6,100.0,100.0,100.0,69.0,14.1,,
v2-rolling,stale_repeat,10,40.0,29.4,29.4,100.0,100.0,100.0,73.5,15.2,,
v2-rolling-naive,stale_repeat,10,40.0,30.7,30.7,100.0,100.0,100.0,76.8,14.2,,
v1.1-reference,feed_stops,10,40.0,27.8,24.0,86.2,78.6,93.1,60.0,3.1,75.3,2.0
v2-fixed,feed_stops,10,40.0,26.4,23.2,87.8,79.2,96.0,58.0,0.0,0.0,93.9
v2-rolling,feed_stops,10,40.0,28.3,26.1,92.1,85.2,96.6,65.2,0.0,0.0,93.9
v2-rolling-naive,feed_stops,10,40.0,30.3,26.8,88.4,83.9,93.3,67.0,0.0,85.7,0.0
