country,fiscal_year,only_in,rule,severity,robust_z,value,baseline_span,explanation
Armenia,2025,v2-rolling,beyond_limits,medium,-3.95879650322372,-1.9754985631074877,2015-2024,"Armenia FY2025: year-over-year change of -86% is below the expected range -79% to +205% (learned from FY2015-2024, where a typical year was -20%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -79% limit."
Bhutan,2025,v2-rolling,beyond_limits,medium,-3.242847227013848,-2.6003144167259804,2015-2024,"Bhutan FY2025: year-over-year change of -93% is below the expected range -91% to +1781% (learned from FY2015-2024, where a typical year was +32%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -91% limit."
Bosnia and Herzegovina,2021,v2-rolling,beyond_limits,medium,-3.594298767520519,-1.4014483350220595,2011-2020,"Bosnia and Herzegovina FY2021: year-over-year change of -75% is below the expected range -69% to +231% (learned from FY2011-2020, where a typical year was +1%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -69% limit."
Bosnia and Herzegovina,2022,v2-rolling,beyond_limits,medium,-3.9613809683221373,-1.5460183707495119,2011-2020,"Bosnia and Herzegovina FY2022: year-over-year change of -79% is below the expected range -69% to +231% (learned from FY2011-2020, where a typical year was +1%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -69% limit. Baseline: 10 years, 1 flagged year(s) held out, 0 zero-period year(s) skipped."
Cameroon,2025,v2-fixed,beyond_limits,high,5.149522237439268,0.43785074589923595,2011-2019,"Cameroon FY2025: year-over-year change of +55% is above the expected range -27% to +27% (learned from FY2011-2019, where a typical year was -4%); that is 5.1 robust sigmas from the typical year (limits sit at 3), so 2.1 beyond the +27% limit."
Cameroon,2026,v2-fixed,beyond_limits,medium,3.2634444807856418,0.26391352770327897,2011-2019,"Cameroon FY2026: year-over-year change of +30% is above the expected range -27% to +27% (learned from FY2011-2019, where a typical year was -4%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +27% limit."
Central Africa,2026,v2-rolling,beyond_limits,high,-7.602993817839222,-3.0522556350337506,2014-2025,"Central Africa FY2026: year-over-year change of -95% is below the expected range -70% to +244% (learned from FY2014-2025, where a typical year was +2%); that is 7.6 robust sigmas from the typical year (limits sit at 3), so 4.6 beyond the -70% limit. Baseline: 10 years, 0 flagged year(s) held out, 2 zero-period year(s) skipped."
"Congo, Democratic Republic of",2021,v2-rolling,beyond_limits,medium,4.48074035584767,0.40244576988108166,2011-2020,"Congo, Democratic Republic of FY2021: year-over-year change of +50% is above the expected range -27% to +30% (learned from FY2011-2020, where a typical year was -2%); that is 4.5 robust sigmas from the typical year (limits sit at 3), so 1.5 beyond the +30% limit."
Cote d'Ivoire,2026,v2-fixed,beyond_limits,medium,-3.0566219591034978,-0.5164613366529052,2011-2019,"Cote d'Ivoire FY2026: year-over-year change of -40% is below the expected range -40% to +156% (learned from FY2011-2019, where a typical year was +24%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -40% limit."
Dominica,2026,v2-fixed,beyond_limits,medium,-3.6238169815034174,-1.8629865240144055,2011-2019,"Dominica FY2026: year-over-year change of -84% is below the expected range -78% to +461% (learned from FY2011-2019, where a typical year was +11%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -78% limit."
