financier,country,first_fy,last_fy,n_years,n_gap_years,gap_years
IBRD,Namibia,2010,2026,4,13,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025"
IDA,Syrian Arab Republic,2010,2026,5,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
IDA,Sudan,2011,2026,7,9,"2012,2013,2014,2015,2016,2017,2018,2019,2020"
IBRD,Cote d'Ivoire,2010,2026,12,5,"2013,2014,2015,2016,2017"
IBRD,Fiji,2010,2026,13,4,"2011,2012,2013,2014"
IBRD,Turkmenistan,2010,2026,14,3,"2018,2019,2020"
IBRD,Zimbabwe,2010,2026,14,3,"2012,2013,2018"
IDA,Central Asia,2010,2026,16,1,2025
IDA,Marshall Islands,2013,2026,13,1,2014
IDA,Mauritius,2010,2026,16,1,2025
IBRD,Trinidad and Tobago,2010,2026,16,1,2019
IDA,Zimbabwe,2014,2026,12,1,2018
IDA,Afghanistan,2010,2026,17,0,
IDA,Africa,2010,2021,12,0,
IBRD,Albania,2010,2026,17,0,
IDA,Albania,2010,2026,17,0,
IBRD,Algeria,2010,2018,9,0,
IBRD,Angola,2015,2026,12,0,
IDA,Angola,2010,2026,17,0,
IBRD,Antigua and Barbuda,2013,2026,14,0,
IBRD,Argentina,2010,2026,17,0,
IBRD,Armenia,2010,2026,17,0,
IDA,Armenia,2010,2026,17,0,
IBRD,Azerbaijan,2010,2026,17,0,
IDA,Azerbaijan,2010,2026,17,0,
IBRD,"Bahamas, The",2021,2026,6,0,
IDA,Bangladesh,2010,2026,17,0,
IBRD,Barbados,2010,2026,17,0,
IBRD,Belarus,2010,2026,17,0,
IBRD,Belize,2010,2026,17,0,
IDA,Belize,2025,2026,2,0,
IDA,Benin,2010,2026,17,0,
IBRD,Bhutan,2026,2026,1,0,
IDA,Bhutan,2010,2026,17,0,
IBRD,Bolivia,2010,2026,17,0,
IDA,Bolivia,2010,2026,17,0,
IBRD,Bosnia and Herzegovina,2010,2026,17,0,
IDA,Bosnia and Herzegovina,2010,2026,17,0,
IBRD,Botswana,2010,2026,17,0,
IDA,Botswana,2010,2024,15,0,
IBRD,Brazil,2010,2026,17,0,
IBRD,Bulgaria,2010,2026,17,0,
IDA,Burkina Faso,2010,2026,17,0,
IDA,Burundi,2010,2026,17,0,
IBRD,Cabo Verde,2012,2026,15,0,
IDA,Cabo Verde,2010,2026,17,0,
IDA,Cambodia,2010,2026,17,0,
IBRD,Cameroon,2010,2026,17,0,
IDA,Cameroon,2010,2026,17,0,
IDA,Caribbean,2010,2026,17,0,
IDA,Central Africa,2010,2026,17,0,
IDA,Central African Republic,2010,2026,17,0,
IDA,Central America,2010,2011,2,0,
IDA,Chad,2010,2026,17,0,
IBRD,Chile,2010,2026,17,0,
IDA,Chile,2010,2011,2,0,
IBRD,China,2010,2026,17,0,
IDA,China,2010,2026,17,0,
IBRD,Colombia,2010,2026,17,0,
IDA,Colombia,2010,2011,2,0,
IDA,Comoros,2010,2026,17,0,
IDA,"Congo, Democratic Republic of",2010,2026,17,0,
IBRD,"Congo, Republic of",2015,2026,12,0,
IDA,"Congo, Republic of",2010,2026,17,0,
IBRD,Costa Rica,2010,2026,17,0,
IDA,Costa Rica,2010,2011,2,0,
IDA,Cote d'Ivoire,2010,2026,17,0,
IBRD,Croatia,2010,2026,17,0,
IDA,Djibouti,2010,2026,17,0,
IBRD,Dominica,2010,2016,7,0,
IDA,Dominica,2010,2026,17,0,
IBRD,Dominican Republic,2010,2026,17,0,
IDA,Dominican Republic,2010,2023,14,0,
IDA,East Asia and Pacific,2025,2026,2,0,
IDA,Eastern Africa,2016,2021,6,0,
IDA,Eastern and Southern Africa,2022,2026,5,0,
IBRD,Ecuador,2010,2026,17,0,
IDA,Ecuador,2010,2023,14,0,
IBRD,"Egypt, Arab Republic of",2010,2026,17,0,
IDA,"Egypt, Arab Republic of",2010,2026,17,0,
