country,fiscal_year,robust_z,severity,change_pct,rule,currently_alerting,explanation,label,note
Chad,2021,-13.0,high,-50.0,beyond_limits,True,"Chad FY2021: year-over-year change of -50% is below the expected range -6% to +38% (learned from FY2010-2019, where a typical year was +14%); that is 13.0 robust sigmas from the typical year (limits sit at 3), so 10.0 beyond the -6% limit.",,
Cameroon,2020,11.5,high,178.0,beyond_limits,True,"Cameroon FY2020: year-over-year change of +178% is above the expected range -27% to +27% (learned from FY2010-2019, where a typical year was -4%); that is 11.5 robust sigmas from the typical year (limits sit at 3), so 8.5 beyond the +27% limit.",,
Chad,2024,8.7,high,99.0,beyond_limits,True,"Chad FY2024: year-over-year change of +99% is above the expected range -6% to +38% (learned from FY2010-2019, where a typical year was +14%); that is 8.7 robust sigmas from the typical year (limits sit at 3), so 5.7 beyond the +38% limit.",,
Kosovo,2021,8.2,high,654.0,beyond_limits,True,"Kosovo FY2021: year-over-year change of +654% is above the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 8.2 robust sigmas from the typical year (limits sit at 3), so 5.2 beyond the +92% limit.",,
Uzbekistan,2020,-7.5,high,-75.0,beyond_limits,True,"Uzbekistan FY2020: year-over-year change of -75% is below the expected range -36% to +128% (learned from FY2010-2019, where a typical year was +21%); that is 7.5 robust sigmas from the typical year (limits sit at 3), so 4.5 beyond the -36% limit.",,
Kosovo,2026,7.2,high,480.0,beyond_limits,True,"Kosovo FY2026: year-over-year change of +480% is above the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 7.2 robust sigmas from the typical year (limits sit at 3), so 4.2 beyond the +92% limit.",,
Chad,2023,6.8,high,77.0,beyond_limits,True,"Chad FY2023: year-over-year change of +77% is above the expected range -6% to +38% (learned from FY2010-2019, where a typical year was +14%); that is 6.8 robust sigmas from the typical year (limits sit at 3), so 3.8 beyond the +38% limit.",,
Nicaragua,2026,-6.4,high,-91.0,beyond_limits,True,"Nicaragua FY2026: year-over-year change of -91% is below the expected range -68% to +160% (learned from FY2010-2019, where a typical year was -9%); that is 6.4 robust sigmas from the typical year (limits sit at 3), so 3.4 beyond the -68% limit.",,
Cameroon,2021,-6.4,high,-46.0,beyond_limits,True,"Cameroon FY2021: year-over-year change of -46% is below the expected range -27% to +27% (learned from FY2010-2019, where a typical year was -4%); that is 6.4 robust sigmas from the typical year (limits sit at 3), so 3.4 beyond the -27% limit.",,
Central Asia,2024,-6.1,high,-97.0,beyond_limits,True,"Central Asia FY2024: year-over-year change of -97% is below the expected range -82% to +432% (learned from FY2010-2019, where a typical year was -1%); that is 6.1 robust sigmas from the typical year (limits sit at 3), so 3.1 beyond the -82% limit.",,
Cameroon,2025,5.1,high,55.0,beyond_limits,True,"Cameroon FY2025: year-over-year change of +55% is above the expected range -27% to +27% (learned from FY2010-2019, where a typical year was -4%); that is 5.1 robust sigmas from the typical year (limits sit at 3), so 2.1 beyond the +27% limit.",,
Haiti,2023,-5.0,medium,-45.0,beyond_limits,True,"Haiti FY2023: year-over-year change of -45% is below the expected range -27% to +72% (learned from FY2010-2019, where a typical year was +12%); that is 5.0 robust sigmas from the typical year (limits sit at 3), so 2.0 beyond the -27% limit.",,
Pakistan,2020,4.8,medium,134.0,beyond_limits,True,"Pakistan FY2020: year-over-year change of +134% is above the expected range -58% to +56% (learned from FY2010-2019, where a typical year was -19%); that is 4.8 robust sigmas from the typical year (limits sit at 3), so 1.8 beyond the +56% limit.",,
"Congo, Democratic Republic of",2023,4.8,medium,102.0,beyond_limits,True,"Congo, Democratic Republic of FY2023: year-over-year change of +102% is above the expected range -39% to +54% (learned from FY2010-2019, where a typical year was -3%); that is 4.8 robust sigmas from the typical year (limits sit at 3), so 1.8 beyond the +54% limit.",,
Mongolia,2020,4.7,medium,723.0,beyond_limits,True,"Mongolia FY2020: year-over-year change of +723% is above the expected range -80% to +261% (learned from FY2010-2019, where a typical year was -14%); that is 4.7 robust sigmas from the typical year (limits sit at 3), so 1.7 beyond the +261% limit.",,
Haiti,2024,4.6,medium,116.0,beyond_limits,True,"Haiti FY2024: year-over-year change of +116% is above the expected range -27% to +72% (learned from FY2010-2019, where a typical year was +12%); that is 4.6 robust sigmas from the typical year (limits sit at 3), so 1.6 beyond the +72% limit.",,
Kosovo,2023,4.5,medium,182.0,beyond_limits,True,"Kosovo FY2023: year-over-year change of +182% is above the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 4.5 robust sigmas from the typical year (limits sit at 3), so 1.5 beyond the +92% limit.",,
Papua New Guinea,2022,4.4,medium,632.0,beyond_limits,True,"Papua New Guinea FY2022: year-over-year change of +632% is above the expected range -69% to +303% (learned from FY2010-2019, where a typical year was +11%); that is 4.4 robust sigmas from the typical year (limits sit at 3), so 1.4 beyond the +303% limit.",,
Honduras,2020,4.4,medium,804.0,beyond_limits,True,"Honduras FY2020: year-over-year change of +804% is above the expected range -83% to +333% (learned from FY2010-2019, where a typical year was -14%); that is 4.4 robust sigmas from the typical year (limits sit at 3), so 1.4 beyond the +333% limit.",,
Afghanistan,2023,-4.4,medium,-96.0,beyond_limits,True,"Afghanistan FY2023: year-over-year change of -96% is below the expected range -89% to +707% (learned from FY2010-2019, where a typical year was -6%); that is 4.4 robust sigmas from the typical year (limits sit at 3), so 1.4 beyond the -89% limit.",,
Guyana,2025,-4.3,medium,-93.0,beyond_limits,True,"Guyana FY2025: year-over-year change of -93% is below the expected range -82% to +909% (learned from FY2010-2019, where a typical year was +35%); that is 4.3 robust sigmas from the typical year (limits sit at 3), so 1.3 beyond the -82% limit.",,
Niger,2024,-4.2,medium,-80.0,beyond_limits,True,"Niger FY2024: year-over-year change of -80% is below the expected range -68% to +240% (learned from FY2010-2019, where a typical year was +5%); that is 4.2 robust sigmas from the typical year (limits sit at 3), so 1.2 beyond the -68% limit.",,
