chart,country,fiscal_year,value,center,lcl,ucl,sigma,robust_z,n_baseline,rule,severity,explanation,abs_z,incident_id
A_level,Dominica,2025,93204841.48,973562.77,0.0,2349031.621078,458489.617026,201.1632876405351,10,beyond_limits,high,"Dominica FY2025: disbursement of $93,204,841 is above the expected range $0 to $2,349,032 (learned from FY2010-2019, where a typical year was $973,563); that is 201.2 robust sigmas from the typical year (limits sit at 3), so 198.2 beyond the $2,349,032 limit.",201.1632876405351,
A_level,Dominica,2022,62065969.89,973562.77,0.0,2349031.621078,458489.617026,133.24708968608022,10,beyond_limits,high,"Dominica FY2022: disbursement of $62,065,970 is above the expected range $0 to $2,349,032 (learned from FY2010-2019, where a typical year was $973,563); that is 133.2 robust sigmas from the typical year (limits sit at 3), so 130.2 beyond the $2,349,032 limit.",133.24708968608022,
A_level,Dominica,2021,46076887.7,973562.77,0.0,2349031.621078,458489.617026,98.37371066887712,10,beyond_limits,high,"Dominica FY2021: disbursement of $46,076,888 is above the expected range $0 to $2,349,032 (learned from FY2010-2019, where a typical year was $973,563); that is 98.4 robust sigmas from the typical year (limits sit at 3), so 95.4 beyond the $2,349,032 limit.",98.37371066887712,
A_level,Comoros,2026,103206502.5,6380609.3149999995,2710800.7665170003,10050417.863482999,1223269.5161609997,79.15336065012866,10,beyond_limits,high,"Comoros FY2026: disbursement of $103,206,502 is above the expected range $2,710,801 to $10,050,418 (learned from FY2010-2019, where a typical year was $6,380,609); that is 79.2 robust sigmas from the typical year (limits sit at 3), so 76.2 beyond the $10,050,418 limit.",79.15336065012866,
A_level,St. Vincent and the Grenadines,2022,62164960.75,1612017.44,0.0,4286625.979336999,891536.179779,67.91978237496798,10,beyond_limits,high,"St. Vincent and the Grenadines FY2022: disbursement of $62,164,961 is above the expected range $0 to $4,286,626 (learned from FY2010-2019, where a typical year was $1,612,017); that is 67.9 robust sigmas from the typical year (limits sit at 3), so 64.9 beyond the $4,286,626 limit.",67.91978237496798,
A_level,Dominica,2023,30163462.72,973562.77,0.0,2349031.621078,458489.617026,63.6653456611313,10,beyond_limits,high,"Dominica FY2023: disbursement of $30,163,463 is above the expected range $0 to $2,349,032 (learned from FY2010-2019, where a typical year was $973,563); that is 63.7 robust sigmas from the typical year (limits sit at 3), so 60.7 beyond the $2,349,032 limit.",63.6653456611313,
A_level,St. Vincent and the Grenadines,2021,56691144.07,1612017.44,0.0,4286625.979336999,891536.179779,61.78002405202825,10,beyond_limits,high,"St. Vincent and the Grenadines FY2021: disbursement of $56,691,144 is above the expected range $0 to $4,286,626 (learned from FY2010-2019, where a typical year was $1,612,017); that is 61.8 robust sigmas from the typical year (limits sit at 3), so 58.8 beyond the $4,286,626 limit.",61.78002405202825,
A_level,St. Vincent and the Grenadines,2020,56555184.24,1612017.44,0.0,4286625.979336999,891536.179779,61.627523421000916,10,beyond_limits,high,"St. Vincent and the Grenadines FY2020: disbursement of $56,555,184 is above the expected range $0 to $4,286,626 (learned from FY2010-2019, where a typical year was $1,612,017); that is 61.6 robust sigmas from the typical year (limits sit at 3), so 58.6 beyond the $4,286,626 limit.",61.627523421000916,
A_level,Comoros,2024,76102937.53,6380609.3149999995,2710800.7665170003,10050417.863482999,1223269.5161609997,56.99670211173933,10,beyond_limits,high,"Comoros FY2024: disbursement of $76,102,938 is above the expected range $2,710,801 to $10,050,418 (learned from FY2010-2019, where a typical year was $6,380,609); that is 57.0 robust sigmas from the typical year (limits sit at 3), so 54.0 beyond the $10,050,418 limit.",56.99670211173933,
A_level,St. Lucia,2024,64378544.72,4078803.77,0.0,8187234.205949,1369476.811983,44.0312244956423,10,beyond_limits,high,"St. Lucia FY2024: disbursement of $64,378,545 is above the expected range $0 to $8,187,234 (learned from FY2010-2019, where a typical year was $4,078,804); that is 44.0 robust sigmas from the typical year (limits sit at 3), so 41.0 beyond the $8,187,234 limit.",44.0312244956423,
A_level,Comoros,2025,60122023.14,6380609.3149999995,2710800.7665170003,10050417.863482999,1223269.5161609997,43.93260284426712,10,beyond_limits,high,"Comoros FY2025: disbursement of $60,122,023 is above the expected range $2,710,801 to $10,050,418 (learned from FY2010-2019, where a typical year was $6,380,609); that is 43.9 robust sigmas from the typical year (limits sit at 3), so 40.9 beyond the $10,050,418 limit.",43.93260284426712,
A_level,Chad,2026,469597771.1,24927053.58,0.0,56721023.91791999,10597990.112639997,41.95802343593912,10,beyond_limits,high,"Chad FY2026: disbursement of $469,597,771 is above the expected range $0 to $56,721,024 (learned from FY2010-2019, where a typical year was $24,927,054); that is 42.0 robust sigmas from the typical year (limits sit at 3), so 39.0 beyond the $56,721,024 limit.",41.95802343593912,
