chart,country,reason
A_level,Belize,only 0 baseline years (<8)
A_level,Botswana,zero baseline variation (MAD = 0)
A_level,Central America,only 2 baseline years (<8)
A_level,Chile,only 2 baseline years (<8)
A_level,China,zero baseline variation (MAD = 0)
A_level,Colombia,only 2 baseline years (<8)
A_level,Costa Rica,only 2 baseline years (<8)
A_level,Dominican Republic,zero baseline variation (MAD = 0)
A_level,East Asia and Pacific,only 0 baseline years (<8)
A_level,Eastern Africa,only 4 baseline years (<8)
A_level,Eastern and Southern Africa,only 0 baseline years (<8)
A_level,Ecuador,zero baseline variation (MAD = 0)
A_level,El Salvador,zero baseline variation (MAD = 0)
A_level,Equatorial Guinea,zero baseline variation (MAD = 0)
A_level,Eritrea,only 3 baseline years (<8)
A_level,Eswatini,zero baseline variation (MAD = 0)
A_level,Fiji,only 0 baseline years (<8)
A_level,IFC,only 0 baseline years (<8)
A_level,Jordan,zero baseline variation (MAD = 0)
A_level,"Korea, Republic of",only 1 baseline years (<8)
A_level,Lebanon,only 3 baseline years (<8)
A_level,MIGA,only 1 baseline years (<8)
A_level,Marshall Islands,only 6 baseline years (<8)
A_level,Mauritius,zero baseline variation (MAD = 0)
A_level,"Micronesia, Federated States of",only 6 baseline years (<8)
A_level,"Mid East,NorthAfrica, Afghan, Pakistan",only 0 baseline years (<8)
A_level,Middle East and North Africa,only 0 baseline years (<8)
A_level,Morocco,zero baseline variation (MAD = 0)
A_level,Myanmar,only 7 baseline years (<8)
A_level,North Macedonia,zero baseline variation (MAD = 0)
A_level,OECS Countries,only 0 baseline years (<8)
A_level,Pacific 1,only 0 baseline years (<8)
A_level,Pacific Islands,only 6 baseline years (<8)
A_level,Paraguay,zero baseline variation (MAD = 0)
A_level,Philippines,zero baseline variation (MAD = 0)
A_level,Somalia,only 1 baseline years (<8)
A_level,"Somalia, Federal Republic of",only 0 baseline years (<8)
A_level,South Asia,only 0 baseline years (<8)
A_level,South East Asia,only 0 baseline years (<8)
A_level,South Sudan,only 7 baseline years (<8)
A_level,St. Kitts and Nevis,zero baseline variation (MAD = 0)
A_level,Sudan,only 1 baseline years (<8)
A_level,Suriname,only 0 baseline years (<8)
A_level,Syrian Arab Republic,only 3 baseline years (<8)
A_level,"Taiwan, China",only 3 baseline years (<8)
A_level,Thailand,only 3 baseline years (<8)
A_level,Thailand & Myanmar CMU,only 0 baseline years (<8)
A_level,Tunisia,zero baseline variation (MAD = 0)
A_level,Turkiye,zero baseline variation (MAD = 0)
