chart,country,fiscal_year,value,center,lcl,ucl,sigma,robust_z,n_baseline,rule,severity,explanation
A_level,Afghanistan,2020,541841779.4,141668570.1,0.0,297673426.90731,52001618.935770005,7.695399056600053,10,beyond_limits,high,"Afghanistan FY2020: disbursement of $541,841,779 is above the expected range $0 to $297,673,427 (learned from FY2010-2019, where a typical year was $141,668,570); that is 7.7 robust sigmas past the $297,673,427 limit."
A_level,Afghanistan,2021,465789168.6,141668570.1,0.0,297673426.90731,52001618.935770005,6.232894381621826,10,beyond_limits,high,"Afghanistan FY2021: disbursement of $465,789,169 is above the expected range $0 to $297,673,427 (learned from FY2010-2019, where a typical year was $141,668,570); that is 6.2 robust sigmas past the $297,673,427 limit."
A_level,Afghanistan,2022,162057958.9,141668570.1,0.0,297673426.90731,52001618.935770005,0.3920914236378687,10,,,
A_level,Afghanistan,2023,-2594221.8,141668570.1,0.0,297673426.90731,52001618.935770005,-2.774198089451537,10,beyond_limits,medium,"Afghanistan FY2023: disbursement of $-2,594,222 is below the expected range $0 to $297,673,427 (learned from FY2010-2019, where a typical year was $141,668,570); that is 2.8 robust sigmas past the $0 limit."
A_level,Afghanistan,2024,93998325.15,141668570.1,0.0,297673426.90731,52001618.935770005,-0.9167069396220158,10,,,
A_level,Afghanistan,2025,173783345.3,141668570.1,0.0,297673426.90731,52001618.935770005,0.6175726036465654,10,,,
A_level,Afghanistan,2026,68707102.33,141668570.1,0.0,297673426.90731,52001618.935770005,-1.4030614673769797,10,,,
A_level,Africa,2020,31149681.83,28528825.265,0.0,74558118.674582,15343097.803194001,0.17081664984592676,10,,,
A_level,Africa,2021,12584631.92,28528825.265,0.0,74558118.674582,15343097.803194001,-1.039176934770035,10,,,
A_level,Albania,2020,402529.74,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9008908181820114,10,sustained_shift,medium,"Albania FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2021,32506.63,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9252198066148808,10,sustained_shift,medium,"Albania FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2022,0.0,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9273571148096624,10,sustained_shift,medium,"Albania FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2023,0.0,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9273571148096624,10,sustained_shift,medium,"Albania FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2024,0.0,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9273571148096624,10,sustained_shift,medium,"Albania FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2025,0.0,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9273571148096624,10,sustained_shift,medium,"Albania FY2025: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Albania,2026,0.0,14104308.719999999,0.0,59731743.37734299,15209144.885780998,-0.9273571148096624,10,sustained_shift,medium,"Albania FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $14,104,309 - the level has shifted rather than spiked."
A_level,Angola,2020,10340932.95,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.022426478880088,10,sustained_shift,medium,"Angola FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Angola,2021,3710856.74,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.3782087667034344,10,sustained_shift,medium,"Angola FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Angola,2022,4970539.22,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.3106118491914733,10,sustained_shift,medium,"Angola FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Angola,2023,-42362.35,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.5796135216787106,10,beyond_limits,medium,"Angola FY2023: disbursement of $-42,362 is below the expected range $0 to $103,934,885 (learned from FY2010-2019, where a typical year was $48,029,267); that is 2.6 robust sigmas past the $0 limit."
A_level,Angola,2024,0.0,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.5773402787591437,10,sustained_shift,medium,"Angola FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Angola,2025,0.0,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.5773402787591437,10,sustained_shift,medium,"Angola FY2025: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Angola,2026,0.0,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.5773402787591437,10,sustained_shift,medium,"Angola FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked."
A_level,Armenia,2020,7113788.01,16417967.305,0.0,46864897.83958,10148976.84486,-0.9167603234519298,10,sustained_shift,medium,"Armenia FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
A_level,Armenia,2021,7631248.55,16417967.305,0.0,46864897.83958,10148976.84486,-0.8657738498487241,10,sustained_shift,medium,"Armenia FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
A_level,Armenia,2022,3808745.4,16417967.305,0.0,46864897.83958,10148976.84486,-1.242413111956798,10,sustained_shift,medium,"Armenia FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
A_level,Armenia,2023,2079024.89,16417967.305,0.0,46864897.83958,10148976.84486,-1.4128461059857504,10,sustained_shift,medium,"Armenia FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
A_level,Armenia,2024,2369584.14,16417967.305,0.0,46864897.83958,10148976.84486,-1.3842166929482032,10,sustained_shift,medium,"Armenia FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
A_level,Armenia,2025,-634432.06,16417967.305,0.0,46864897.83958,10148976.84486,-1.6802087171611069,10,beyond_limits,medium,"Armenia FY2025: disbursement of $-634,432 is below the expected range $0 to $46,864,898 (learned from FY2010-2019, where a typical year was $16,417,967); that is 1.7 robust sigmas past the $0 limit."
A_level,Armenia,2026,0.0,16417967.305,0.0,46864897.83958,10148976.84486,-1.6176967940679616,10,sustained_shift,medium,"Armenia FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked."
